@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
c,1111,8888,0,0,0,0,1259,592,74,0,5185,8148,1304,9083,3606730,4950,1062,-4654,128181,-323222,95925,9876,394933
c,76,9923,0,0,0,0,1153,307,0,76,3076,10000,1090,9870,3743805,5786,2301,-3138,361767,-286035,407165,9894,403294
c,1145,8854,0,0,0,0,1450,381,76,0,6870,9923,1755,9062,3416344,6518,675,-3003,271699,-152939,-4671,9868,396676
c,683,9145,170,0,0,0,1282,256,85,85,9401,4273,985,9785,3606398,4473,1452,-4478,448499,-98612,-12543,9840,397393
c,1346,8653,0,0,0,0,1442,1057,96,96,6730,17307,2202,9103,3354413,7761,-6224,453,442445,-601059,55816,9828,380836
c,1568,8431,0,0,0,0,1960,1274,294,0,10784,15686,1803,9323,3495700,6287,2597,-5568,63217,-527205,-1573,9870,392678
c,2393,7606,0,0,0,0,1538,1111,0,85,6837,11965,2071,9255,3534157,6487,1730,-5174,415389,-308593,-130764,9882,406125
c,877,9122,0,0,0,0,2368,964,526,526,9649,10526,808,9411,4056213,4735,1923,-4571,186989,-289709,67204,9864,412403
c,642,9357,0,0,0,0,1834,642,0,0,5504,10091,1193,9944,3834865,5782,1002,-4758,277458,-92303,-77467,9868,398271
d,1344,8655,0,0,0,0,2521,2100,168,252,13445,15126,1355,9179,3579886,7126,1856,-6547,-48041,-890479,-31267,9886,398233
d,1338,8661,0,0,0,0,2204,1417,78,314,11811,13385,2230,9185,3631892,6194,1752,-5517,-409744,-384169,-53315,9877,403115
d,234,9765,0,0,0,0,1171,859,234,78,10937,5468,272,9465,4139835,5055,1204,-4802,207079,-436538,-138792,9892,410445
d,230,9769,0,0,0,0,1615,1461,230,76,12307,10000,918,9562,3872538,6517,1125,-5479,-32734,-432021,-108362,9903,412677
d,555,9444,0,0,0,0,1319,1458,138,69,6250,7638,1204,9267,3829173,5153,724,-4419,-44843,-275227,-203550,9893,399525
d,1857,8142,0,0,0,0,1357,1214,142,142,14285,12142,1884,9383,3678115,5478,-7172,2931,204586,-419638,-160575,9879,398669
d,2411,7588,0,0,0,0,1489,1276,70,0,6382,9929,3192,9564,3463370,5890,851,-2385,-93808,-564798,-243921,9877,387848
d,748,9251,0,0,0,0,1496,1292,136,0,11564,8843,668,8956,3751848,6038,-661,-3934,-29419,-390926,-217666,9883,402231
d,2142,7380,476,0,0,0,1428,1349,158,158,14285,9523,1549,9154,3532578,6069,1071,-6380,16233,-218081,-117752,9875,409208
d,1250,8750,0,0,0,0,1911,1250,73,0,13235,15441,1324,9708,3487660,6436,1265,-6116,-235424,-496978,30699,9877,393851
d,1793,8206,0,0,0,0,1793,1655,275,206,7586,8275,1581,9643,3581126,5432,-26,-3987,32589,-391942,-205100,9903,400948
d,2500,7500,0,0,0,0,1750,1625,187,125,11250,16875,2364,9742,3411414,6078,821,-3064,-272883,-441182,-414899,9902,400443
d,3988,6011,0,0,0,0,1011,1123,56,112,14606,16292,3778,9820,2992243,7293,-8775,1416,-430933,-411308,-327470,9930,375247
d,3179,6820,0,0,0,0,1156,1329,346,57,16763,15606,3128,9515,3123539,6188,-7567,2137,-393940,-501460,-247097,9902,375829
d,1739,8260,0,0,0,0,993,1801,62,186,10559,16770,1990,9589,3354136,5783,-7403,2816,-306454,-350684,-310907,9894,390761
d,1250,8750,0,0,0,0,1691,1764,514,588,19852,13970,1263,9999,3621229,5073,-5726,1850,-130151,-394015,-110473,9883,396184
d,1275,8724,0,0,0,0,1342,2080,201,268,11409,15436,1465,9993,3523030,5968,-6897,2665,-227729,-287405,-230333,9891,391560
d,676,9323,0,0,0,0,1804,1503,300,225,13533,15789,697,9918,3859981,5269,-5767,1938,23864,-439345,-132649,9871,396586
d,708,9291,0,0,0,0,1811,2125,551,0,11023,10236,720,9422,3901376,5089,-714,-5034,51805,-873954,2990,9863,401791
d,277,9722,0,0,0,0,1805,1388,208,69,6250,7638,443,8920,3857362,3237,702,-2382,195521,-103495,-101757,9884,408581
d,2480,7520,0,0,0,0,2560,1760,160,160,14399,15200,1877,9615,3431800,4011,-6584,3290,32738,-227700,-276017,9881,390337
d,1794,8205,0,0,0,0,2307,1880,598,85,16239,15384,1681,9254,3747143,4690,571,-4320,70443,-268679,-70540,9875,397149
d,2222,7777,0,0,0,0,2380,1746,317,476,14285,7936,1335,9755,3557598,4795,695,-2694,39855,-411991,-60136,9873,419424
